"varID","varCat","topicID","weight","type"
1,"00:00",1,6.81875887209465e-12,"Hourly"
2,"01:00",1,2.17366156526247e-07,"Hourly"
3,"02:00",1,4.13679313056681e-15,"Hourly"
4,"03:00",1,0.00232321013171085,"Hourly"
5,"04:00",1,0.00646603522344403,"Hourly"
6,"05:00",1,0.143982855109211,"Hourly"
7,"06:00",1,2.6135775983894e-13,"Hourly"
8,"07:00",1,0.00166883228301584,"Hourly"
9,"08:00",1,1.46751057944156e-07,"Hourly"
10,"09:00",1,2.08666273685317e-16,"Hourly"
11,"10:00",1,4.71677030680496e-05,"Hourly"
12,"11:00",1,2.44235890143697e-10,"Hourly"
13,"12:00",1,7.1631038358151e-10,"Hourly"
14,"13:00",1,5.75477733891336e-05,"Hourly"
15,"14:00",1,0.00650987357277373,"Hourly"
16,"15:00",1,1.06942288036611e-07,"Hourly"
17,"16:00",1,0.135950478798493,"Hourly"
18,"17:00",1,3.03886660979753e-09,"Hourly"
19,"18:00",1,3.49300660878001e-05,"Hourly"
20,"19:00",1,0.12297963960731,"Hourly"
21,"20:00",1,1.76691891056318e-08,"Hourly"
22,"21:00",1,0.0310017820345796,"Hourly"
23,"22:00",1,1.15075638656311e-06,"Hourly"
24,"23:00",1,0.0171249897712964,"Hourly"
1,"00:00",2,7.75714973691825e-10,"Hourly"
2,"01:00",2,0.000168320889653652,"Hourly"
3,"02:00",2,0.0737699475267461,"Hourly"
4,"03:00",2,7.74593018957242e-13,"Hourly"
5,"04:00",2,0.00256687338187,"Hourly"
6,"05:00",2,0.00442279076905149,"Hourly"
7,"06:00",2,0.329420824200054,"Hourly"
8,"07:00",2,5.09013154538896e-10,"Hourly"
9,"08:00",2,0.134445781827609,"Hourly"
10,"09:00",2,0.00628907036515354,"Hourly"
11,"10:00",2,0.0779656656487398,"Hourly"
12,"11:00",2,3.29184592852948e-06,"Hourly"
13,"12:00",2,6.07333955463375e-11,"Hourly"
14,"13:00",2,0.00252250537927098,"Hourly"
15,"14:00",2,0.0703611222597551,"Hourly"
16,"15:00",2,0.00277194529037006,"Hourly"
17,"16:00",2,2.54338981043227e-07,"Hourly"
18,"17:00",2,8.56847510542843e-13,"Hourly"
19,"18:00",2,0.000137774782857171,"Hourly"
20,"19:00",2,3.19632132155321e-07,"Hourly"
21,"20:00",2,2.93685434295931e-16,"Hourly"
22,"21:00",2,9.40670210796653e-07,"Hourly"
23,"22:00",2,9.28098300437667e-19,"Hourly"
24,"23:00",2,6.37864972995816e-09,"Hourly"
1,"00:00",3,0.00127627014071747,"Hourly"
2,"01:00",3,0.115091647522473,"Hourly"
3,"02:00",3,0.000477776232705838,"Hourly"
4,"03:00",3,0.351939359603835,"Hourly"
5,"04:00",3,0.00590183767247352,"Hourly"
6,"05:00",3,4.34035928527834e-06,"Hourly"
7,"06:00",3,1.47864752261747e-08,"Hourly"
8,"07:00",3,1.31981301561132e-06,"Hourly"
9,"08:00",3,0.00526103603036931,"Hourly"
10,"09:00",3,2.49775074189117e-15,"Hourly"
11,"10:00",3,1.4236587834342e-08,"Hourly"
12,"11:00",3,0.000115386486722295,"Hourly"
13,"12:00",3,2.94757104740687e-10,"Hourly"
14,"13:00",3,1.47762695309552e-07,"Hourly"
15,"14:00",3,6.12010764648244e-05,"Hourly"
16,"15:00",3,0.326796894307824,"Hourly"
17,"16:00",3,6.12963323510297e-09,"Hourly"
18,"17:00",3,0.00376290114215801,"Hourly"
19,"18:00",3,4.4037100755903e-06,"Hourly"
20,"19:00",3,0.0378302921793012,"Hourly"
21,"20:00",3,2.31796590233657e-09,"Hourly"
22,"21:00",3,0.334000607257004,"Hourly"
23,"22:00",3,9.80209985172284e-05,"Hourly"
24,"23:00",3,0.00390169304618203,"Hourly"
1,"00:00",4,5.65383878445666e-06,"Hourly"
2,"01:00",4,0.129641764541996,"Hourly"
3,"02:00",4,1.05604260271691e-09,"Hourly"
4,"03:00",4,0.00141032801387643,"Hourly"
5,"04:00",4,2.96608160617122e-07,"Hourly"
6,"05:00",4,0.0125298469663209,"Hourly"
7,"06:00",4,0.00030155210297404,"Hourly"
8,"07:00",4,0.128280905838678,"Hourly"
9,"08:00",4,0.000269222647218623,"Hourly"
10,"09:00",4,8.36328214156344e-10,"Hourly"
11,"10:00",4,2.07223846623597e-05,"Hourly"
12,"11:00",4,1.26129002566446e-18,"Hourly"
13,"12:00",4,0.00259068374429678,"Hourly"
14,"13:00",4,0.00468911648771328,"Hourly"
15,"14:00",4,1.53018003321767e-05,"Hourly"
16,"15:00",4,4.71032625410596e-14,"Hourly"
17,"16:00",4,0.317491321535817,"Hourly"
18,"17:00",4,0.000112874500354765,"Hourly"
19,"18:00",4,1.81520199570244e-09,"Hourly"
20,"19:00",4,6.67469622260336e-05,"Hourly"
21,"20:00",4,2.91476386347299e-12,"Hourly"
22,"21:00",4,0.00472570111507083,"Hourly"
23,"22:00",4,0.0458504670249583,"Hourly"
24,"23:00",4,1.6017956222917e-09,"Hourly"
1,"00:00",5,0.000130443257289317,"Hourly"
2,"01:00",5,9.23123053947573e-24,"Hourly"
3,"02:00",5,6.02018355213196e-05,"Hourly"
4,"03:00",5,7.6053393504923e-07,"Hourly"
5,"04:00",5,0.0256706899578332,"Hourly"
6,"05:00",5,1.82759129305939e-05,"Hourly"
7,"06:00",5,3.5664230649701e-11,"Hourly"
8,"07:00",5,4.48586650827286e-05,"Hourly"
9,"08:00",5,0.00280103703738142,"Hourly"
10,"09:00",5,0.000886879296005187,"Hourly"
11,"10:00",5,3.5913987718109e-11,"Hourly"
12,"11:00",5,7.79980055373553e-05,"Hourly"
13,"12:00",5,1.37275626332463e-13,"Hourly"
14,"13:00",5,9.71003431319263e-05,"Hourly"
15,"14:00",5,0.0333672035016583,"Hourly"
16,"15:00",5,0.000125961614823734,"Hourly"
17,"16:00",5,1.23411170748423e-07,"Hourly"
18,"17:00",5,2.27682548790932e-06,"Hourly"
19,"18:00",5,5.51555626158625e-08,"Hourly"
20,"19:00",5,1.56526943191072e-05,"Hourly"
21,"20:00",5,0.0905395314019175,"Hourly"
22,"21:00",5,1.46973508310903e-07,"Hourly"
23,"22:00",5,0.00949450233336236,"Hourly"
24,"23:00",5,0.152444627691182,"Hourly"
1,"00:00",6,3.55226410513423e-05,"Hourly"
2,"01:00",6,1.53641705764146e-08,"Hourly"
3,"02:00",6,4.12028347321362e-08,"Hourly"
4,"03:00",6,3.75683531830443e-05,"Hourly"
5,"04:00",6,2.05496769961612e-07,"Hourly"
6,"05:00",6,0.000946702987797836,"Hourly"
7,"06:00",6,1.04017247693944e-05,"Hourly"
8,"07:00",6,0.000653459104464735,"Hourly"
9,"08:00",6,0.00263904597100101,"Hourly"
10,"09:00",6,0.00710645090791968,"Hourly"
11,"10:00",6,7.88113622252783e-07,"Hourly"
12,"11:00",6,0.00410517470851763,"Hourly"
13,"12:00",6,0.0688783964508984,"Hourly"
14,"13:00",6,0.0559454781425561,"Hourly"
15,"14:00",6,3.19374642604867e-05,"Hourly"
16,"15:00",6,0.00275959233115535,"Hourly"
17,"16:00",6,0.105359989212534,"Hourly"
18,"17:00",6,1.50904730351377e-18,"Hourly"
19,"18:00",6,0.00644129431676992,"Hourly"
20,"19:00",6,0.183607848038297,"Hourly"
21,"20:00",6,7.74796402674501e-15,"Hourly"
22,"21:00",6,0.00708247577052508,"Hourly"
23,"22:00",6,9.77132418762296e-05,"Hourly"
24,"23:00",6,0.070977644727627,"Hourly"
1,"00:00",7,0.156791647679133,"Hourly"
2,"01:00",7,9.70543335649606e-10,"Hourly"
3,"02:00",7,9.48347559397559e-06,"Hourly"
4,"03:00",7,0.0378021810793125,"Hourly"
5,"04:00",7,7.92519529496552e-07,"Hourly"
6,"05:00",7,4.75479108910069e-05,"Hourly"
7,"06:00",7,3.18279875099339e-14,"Hourly"
8,"07:00",7,0.00354410621211089,"Hourly"
9,"08:00",7,0.00758197758889737,"Hourly"
10,"09:00",7,4.75251324998221e-15,"Hourly"
11,"10:00",7,7.79696832874932e-06,"Hourly"
12,"11:00",7,0.000976797625301014,"Hourly"
13,"12:00",7,2.75484626521256e-06,"Hourly"
14,"13:00",7,1.99643811248058e-11,"Hourly"
15,"14:00",7,0.0003900991826801,"Hourly"
16,"15:00",7,1.57919793122729e-12,"Hourly"
17,"16:00",7,0.000511996393441951,"Hourly"
18,"17:00",7,3.62480451679278e-10,"Hourly"
19,"18:00",7,0.00636980196239086,"Hourly"
20,"19:00",7,1.17479611295411e-08,"Hourly"
21,"20:00",7,7.15726710362431e-08,"Hourly"
22,"21:00",7,0.0238665456318691,"Hourly"
23,"22:00",7,0.214210733334941,"Hourly"
24,"23:00",7,0.000523291835642822,"Hourly"
1,"00:00",8,2.49022474988152e-18,"Hourly"
2,"01:00",8,4.96830853346236e-06,"Hourly"
3,"02:00",8,0.0300025942323451,"Hourly"
4,"03:00",8,1.19763669274896e-07,"Hourly"
5,"04:00",8,0.0701990947520661,"Hourly"
6,"05:00",8,1.00261695359167e-05,"Hourly"
7,"06:00",8,0.186437657824038,"Hourly"
8,"07:00",8,0.0211773922690492,"Hourly"
9,"08:00",8,0.0204814537983457,"Hourly"
